Index,Product,Value_EU,Value_NLD,Percentage
584,871000,119835.777,243.737,0.203392514
585,151219,119097.17,8974.624,7.535547654
586,200870,119077.169,238.139,0.199987119
587,741220,118276.883,3595.829,3.040179035
588,391239,117937.983,3360.465,2.849349221
589,851010,117434.152,27707.167,23.59378982
590,320417,117058.333,1628.711,1.391366986
591,390740,116798.732,4674.241,4.00196211
592,320610,116493.454,1828.648,1.569743138
593,820790,116283.147,458.741,0.394503427
594,620211,116105.414,50.249,0.043278774
595,930590,115963.192,2957.621,2.55048257
596,903290,115894.346,1385.667,1.195629509
597,380830,115880.635,70.039,0.060440642
598,392310,115762.398,19728.019,17.04181957
599,853940,115702.896,1007.698,0.870935849
600,330510,115579.623,4523.288,3.913568744
601,210110,115296.764,46571.425,40.39265577
602,810890,115222.083,6559.674,5.693070138
603,680422,115062.657,827.711,0.719356759
604,843290,114200.858,10046.374,8.797109037
605,961310,113834.876,315.807,0.277425523
606,848230,113825.792,355.134,0.311997829
607,841850,113785.483,341.33,0.299976755
608,848130,113398.077,9439.19,8.32394186
609,391732,113175.566,3876.64,3.425332991
610,392020,113143.238,2721.521,2.405376625
611,851410,113029.113,376.988,0.333531769
612,340290,112979.732,8104.582,7.173483116
613,851150,112945.804,147.784,0.130845056
614,950691,112925.399,5462.168,4.83697029
615,903039,112810.12,1121.149,0.993837255
616,620449,112470.272,84.139,0.074809991
617,850220,112249.244,52.244,0.046542852
618,847480,112070.065,798.684,0.712664885
619,810810,111873.578,60.507,0.054085157
620,950430,111403.71,1065.192,0.956154871
621,850590,111301.206,848.674,0.76250207
622,691200,110722.297,259.759,0.234604056
623,850450,110645.451,494.157,0.446613029
624,392330,110220.042,8021.285,7.277519455
625,390110,110133.263,12318.373,11.18497052
626,481029,110104.408,10111.118,9.183209086
627,847410,109404.645,2743.588,2.507743615
628,620331,109234.265,57.171,0.052337973
629,750210,109216.051,24084.864,22.05249483
630,330129,108642.08,2145.311,1.974659359
631,842612,108451.08,4724.836,4.356651866
632,200490,108319.782,12005.278,11.08318146
633,30269,108221.973,5275.247,4.874469439
634,720824,108168.907,46318.768,42.82077843
635,702000,107980.724,717.225,0.664215772
636,842820,107444.957,9232.45,8.592725297
637,811291,107082.132,8103.507,7.567562252
638,841899,107016.255,2076.545,1.940401484
639,392630,106799.504,617.947,0.578604747
640,722850,106624.219,12.817,0.012020721
641,846229,106494.346,4981.445,4.677661479
642,441212,106417.532,9602.242,9.023176745
643,820231,106257.598,6679.791,6.286412573
644,330690,106191.046,340.971,0.321092044
645,741600,105822.088,941.443,0.88964697
646,853590,105425.598,7857.501,7.45312443
647,841582,105393.003,2046.412,1.941696262
648,420291,105322.744,60.719,0.057650416
649,60310,104606.224,98148.97,93.82708432
650,730110,104547.95,192.453,0.184081084
651,391710,104510.084,13.509,0.012926025
652,392520,104261.156,153.34,0.14707299
653,420232,104252.293,82.353,0.078993946
654,846692,103764.834,532.004,0.512701635
655,903300,103509.25,3264.515,3.153838908
656,200590,103466.937,15338.82,14.82485173
657,901110,103205.048,49.259,0.047729254
658,841790,103175.635,427.309,0.414156889
659,620311,102992.972,42.395,0.041163003
660,851680,102705.409,1586.055,1.544276018
661,290243,102446.914,102413.634,99.96751488
662,390930,102351.185,6904.493,6.745884769
663,730793,102186.256,2599.396,2.543782405
664,841122,101962.326,60064.962,58.90897585
665,903120,101794.772,1243.496,1.221571575
666,950490,101255.582,8407.795,8.303537281
667,843131,100803.974,2364.511,2.345652563
668,844900,100784.659,100.09,0.099310749
669,741110,100464.759,96.207,0.095761938
